hotel_id	dateAdded	dateUpdated	categories	primaryCategories	name	websites	locationId
AV0v_OlQLD2H7whiZv_5	2017-07-11T04:51:30Z	2018-01-18T18:34:36Z	Hotel,Hotels Motels	Accommodation & Food Services	Hampton Inn Ashtabula	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_ERIASHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FERIASHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC0064
AV0XzY0D3D1zeR_xDveH	2017-07-06T12:08:53Z	2018-06-25T08:57:54Z	Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel	Accommodation & Food Services	Aviator Hotel Anchorage	http://www.aviatorhotelanchorage.com	LOC0117
AV0Y-KUd3D1zeR_xD0V3	2017-07-06T17:35:34Z	2018-05-11T23:40:28Z	Hotel,Hotels Motels	Accommodation & Food Services	Fairfield Inn and Suites by Marriott Virginia Beach Oceanfront	http://www.marriott.com/hotels/travel/orfva-fairfield-inn-and-suites-virginia-beach-oceanfront/?pid=CORPYLP&scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe	LOC1640
AV0Z9NhtFcQ3k02bEj2u	2017-07-06T22:11:02Z	2018-01-18T18:34:20Z	Hotel,Hotels Motels	Accommodation & Food Services	Hampton Inn & Suites Big Spring	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_MAFBSHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FMAFBSHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC0558
AV0Z9NhT-gnIPe8DVrWO	2017-07-06T22:11:02Z	2018-01-28T08:34:06Z	Hotels,Lodging,Motels,Hotels and motels,Hotels Motels,Hotel	Accommodation & Food Services	Days Inn Suites Big Spring	http://www.daysinn.com	LOC0053
AV0ZF_BK3D1zeR_xD615	2017-07-06T18:09:45Z	2018-01-23T19:56:43Z	Hotel,Hotels Motels,Wedding Sites,Meeting Facilities	Accommodation & Food Services	Doubletree by Hilton Hotel Reading	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_RDGDTDT_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FRDGDTDT%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC1793
AV12lRqCa4HuVbed9qLQ	2017-07-24T21:51:09Z	2018-05-28T10:12:50Z	Hotel,Hotels Motels	Accommodation & Food Services	Hampton Inn and Suites Baltimore Inner Harbor	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_BALIHHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FBALIHHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC0263
AV1b9aye-gnIPe8DXEvo	2015-09-21T08:47:45Z	2018-01-02T15:23:18Z	Hotel,Hotel and Meeting Room,Hotels Motels	Accommodation & Food Services	Courtyard Richland Columbia Point	http://marriott.com/hotels/travel/psccy-courtyard-richland-columbia-point/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe	LOC1348
AV1b9RLTLD2H7whiajc2	2017-07-19T17:46:14Z	2018-04-14T11:26:11Z	Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Plus Classic Inn Suites	https://www.bestwestern.com/en_US/book/hotel-rooms.44671.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:44671	LOC0093
AV1c_eI-3-Khe5l_MeAr	2017-07-19T22:35:28Z	2018-03-08T11:43:14Z	Lodging,Hotels,Motels,Hotels Motels,Hotel	Accommodation & Food Services	Days Inn Savannah	http://www.daysinn.com	LOC1365
AV1c2L3Aa4HuVbed5hnF	2017-07-19T21:54:54Z	2018-01-18T18:43:25Z	Hotel,Hotels Motels,Meeting Facilities	Accommodation & Food Services	Courtyard by Marriott Westbury Long Island	http://www.marriott.com/hotels/travel/nycbl-courtyard-westbury-long-island/?pid=CORPYLP&scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe	LOC1573
AV1c4fcP3-Khe5l_MBlT	2016-05-06T04:17:19Z	2018-02-02T07:16:09Z	Hotel,Hotels & Motels,Hotels and motels,Hotel and motel reservations,Hotels Motels,Alternative Fuels	Accommodation & Food Services	The Oaks Hotel	http://pasooaks.com	LOC1211
AV1c4vmma4HuVbed5sdh	2017-07-19T22:06:05Z	2018-04-14T13:04:03Z	Hotels,Bars Clubs,Bars Pubs,Hotels Motels,Restaurants,Hotel,Bars	Accommodation & Food Services	Browns Hill Tavern Motel	http://brownshilltavern.com	LOC1092
AV1c7KRqRxPSIh2RY4wt	2017-07-19T22:16:38Z	2018-02-02T07:15:51Z	Hotels and motels,Hotels,Lodging,Motels,Hotels Motels,Hotel	Accommodation & Food Services	Hangar Hotel	http://www.hangarhotel.com	LOC0219
AV1c84h8a4HuVbed5_Jy	2017-07-19T22:24:10Z	2018-05-28T10:12:50Z	Hotel,Hotels Motels	Accommodation & Food Services	Hampton Inn and Suites Williamsburg-Central	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_WBGCLHX_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FWBGCLHX%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC1848
AV1c89jw3-Khe5l_MVmh	2017-07-19T22:24:30Z	2018-06-25T23:29:56Z	Hotel,Hotels Motels	Accommodation & Food Services	Hilton Garden Inn Williamsburg	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_PHFWHGI_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FPHFWHGI%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC1045
AV1dAdj93-Khe5l_Mf_H	2017-07-19T22:39:48Z	2018-02-02T16:06:16Z	Motels,Lodging,Hotels,Hotels and motels,Hotels Motels,Hotel	Accommodation & Food Services	Luray Caverns Motel East	http://www.luraycaverns.com	LOC0818
AV1dN3FM3-Khe5l_Ml9i	2017-07-19T23:38:20Z	2018-06-25T08:54:50Z	Hotels,Restaurant,Hotels and motels,Hotels Motels,Restaurants,Hotel	Accommodation & Food Services	Central Park Hotel	http://central-park-hotel.com,https://central-park-hotel.com	LOC0555
AV1duqYRRxPSIh2RZeyw	2017-07-20T02:01:39Z	2018-02-05T12:20:21Z	Hotels,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Executive Inn Suites	https://www.bestwestern.com/en_US/book/hotel-rooms.23165.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:23165,https://www.bestwestern.com/en_US/book/hotel-details.23165.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:231	LOC0583
AV1dx8MuIxWefVJwfODu	2017-07-20T02:15:59Z	2018-04-14T13:03:08Z	Hotels,Restaurant,Restaurants,Hotel	Accommodation & Food Services	Landmark Hotel	http://www.landmarkinnwarwick.com	LOC1487
AV1ebL3qRxPSIh2RZ9Z4	2017-07-20T05:16:11Z	2018-08-27T16:50:39Z	Wedding Sites,Meeting Facilities,Hotels Motels,Hotel	Accommodation & Food Services	Embassy Suites by Hilton Philadelphia - Center City	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_PHLDTES_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FPHLDTES%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC1443
AV1eR9no3-Khe5l_NC5U	2017-07-20T04:35:53Z	2018-03-18T19:40:01Z	Motels,Hotels,Hotels-Apartment,Lodging,Hotel and motel mgmt.,Hotels and motels,Hotels Motels,Hotel	Accommodation & Food Services	Siesta Motel	http://213hospitality.com	LOC0747
AV1eS_1iIxWefVJwfbSC	2017-07-20T04:40:24Z	2018-01-28T10:02:48Z	Hotel,Hotels Motels	Accommodation & Food Services	Best Western Of Alexandria Inn & Suites & Conference Center	http://book.bestwestern.com/bestwestern/US/FL/Orlando-hotels/BEST-WESTERN-Airport-Inn---Suites/Hotel-Overview.do?propertyCode=10302&sob=YEXTGEN&cm_mmc=BL-_-YEXTGEN-_-GEN-_-LINK,https://www.bestwestern.com/en_US/book/hotel-details.19024.html?iata=00171890&	LOC0340
AV1eS2suRxPSIh2RZ3G4	2017-07-20T04:39:47Z	2018-02-02T16:06:33Z	Hotels,Lodging,Hotel,Hotels Motels	Accommodation & Food Services	Best Western Plus Ruidoso Inn	https://www.bestwestern.com/en_US/book/hotel-rooms.32102.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:32102,https://www.bestwestern.com/en_US/book/hotel-details.32102.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:321	LOC1352
AV1eS84ia4HuVbed6uqW	2017-07-20T04:40:12Z	2018-01-09T10:27:55Z	Hotels,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Sunland Park Inn	https://www.bestwestern.com/en_US/book/hotel-rooms.44413.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:44413,https://www.bestwestern.com/en_US/book/hotel-details.44413.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:444	LOC0702
AV1eSnM6RxPSIh2RZ2UW	2017-07-20T04:38:43Z	2018-06-04T23:54:43Z	Hotels,Bed and Breakfast and Inns,Hotel and motel consultants,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel	Accommodation & Food Services	American Inn	http://www.americinn.com/BrowserNotSupported.html	LOC0667
AV1eSqqi3-Khe5l_ND9X	2016-11-06T19:00:28Z	2018-06-22T18:22:54Z	Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Motels,Hotel	Accommodation & Food Services	Americas Best Value Inn & Suites Canon City	https://www.redlion.com/canon-city	LOC0450
AV1eSrxWa4HuVbed6uJA	2017-07-20T04:39:02Z	2018-01-28T13:00:45Z	Hotels,Lodging,Motels,Hotel	Accommodation & Food Services	Americas Best Value Inn - Medical Center / Lubbock	https://www.redlion.com/abvi-lubbock	LOC0636
AV1eSw2K3-Khe5l_NEJM	2017-07-20T04:39:23Z	2018-01-18T18:43:19Z	Hotel,Hotels Motels	Accommodation & Food Services	Best Western Sawmill Inn	https://www.bestwestern.com/en_US/book/hotel-rooms.03123.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:03123	LOC1169
AV1eSxIH3-Khe5l_NEKD	2017-07-20T04:39:24Z	2018-01-28T11:04:00Z	Hotels,Lodging,Motels,Hotels and motels,Hotel and motel reservations,Hotel	Accommodation & Food Services	Americas Best Value Inn Pryor	https://www.redlion.com/pryor	LOC1321
AV1eT2MnRxPSIh2RZ5aK	2017-07-20T04:44:07Z	2018-01-30T05:09:09Z	Hotels,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Inn Suites	https://www.bestwestern.com/en_US/book/hotel-rooms.38107.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:38107,https://www.bestwestern.com/en_US/book/hotel-details.38107.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website	LOC0840
AV1eT2tx3-Khe5l_NHdo	2017-07-20T04:44:09Z	2018-01-28T05:23:54Z	Bed and Breakfast and Inns,Hotels,Lodging,Hotels Motels,Hotel	Accommodation & Food Services	Anglers Inn	http://www.anglerslodge.net/contact-anglers-lodge	LOC0044
AV1eT4k_RxPSIh2RZ5gv	2017-07-20T04:44:17Z	2018-08-27T16:47:44Z	Hotels,Hotels and motels,Bar and grill restaurants,Hotel and Motel Consultants,Lodging,Hotel	Accommodation & Food Services	Aloft Philadelphia Downtown	http://www.aloftphiladelphiadowntown.com/?SWAQ=94ZA	LOC1502
AV1eTa3XRxPSIh2RZ4g9	2016-11-03T02:02:17Z	2018-06-04T23:49:35Z	Hotels,Hotels and motels,Hotel and motel reservations,Conference Room,Meeting Room,Hotel	Accommodation & Food Services	Candlewood Suites Somerset	http://candlewoodsuites.com,http://www.candlewoodsuites.com	LOC1474
AV1eTBB-RxPSIh2RZ3tP	2017-07-20T04:40:29Z	2018-01-28T09:15:29Z	Hotels,Motels,Lodging,Resorts,Hotels and motels,Hotel	Accommodation & Food Services	Blue Gentian Lodge	http://www.bluegentian.com	LOC1741
AV1eTehKIxWefVJwfcQ-	2017-07-20T04:42:30Z	2018-06-25T08:56:25Z	Hotels,Hotels and motels,Lodging,Motels,Hotel	Accommodation & Food Services	Chalet Motel	http://www.chaletmotelbend.us,http://www.oregon.gov/dhs	LOC0134
AV1eTGPGa4HuVbed6vEI	2017-07-20T04:40:50Z	2018-01-21T05:23:52Z	Hotels,Hotels Motels,Hotels and motels,Hotel	Accommodation & Food Services	Apple Tree Inn	http://www.appletreeindianola.com	LOC0764
AV1eTHJWa4HuVbed6vFu	2016-11-16T03:57:07Z	2018-02-02T07:15:51Z	Hotels,Hotels and motels,Hotel	Accommodation & Food Services	Austria Haus Hotel	http://vailresorts.com	LOC1495
AV1eThnNa4HuVbed6wos	2017-07-20T04:42:43Z	2018-03-08T21:49:04Z	Hotels,Lodging,Corporate Lodging,Motels,Hotels Motels,Hotel	Accommodation & Food Services	Comfort Inn South	https://www.choicehotels.com/tennessee/kingsport/comfort-inn-hotels/tn246?pmf=yextandmc=llyxyxpx	LOC1728
AV1eTj86IxWefVJwfccW	2017-07-20T04:42:52Z	2018-01-30T06:01:05Z	Hotel,Hotels,Lodging,Motels,Corporate Lodging	Accommodation & Food Services	Comfort Suites	https://www.choicehotels.com/kentucky/danville/comfort-suites-hotels/ky037?mc=llyxyxpx,https://www.choicehotels.com/kentucky/danville/comfort-suites-hotels/ky037?pmf=yextandmc=llyxyxpx	LOC0469
AV1eTjxva4HuVbed6wwd	2017-07-20T04:42:51Z	2018-01-28T05:22:42Z	Hotels,Lodging,Corporate Lodging,Motels,Hotel	Accommodation & Food Services	Comfort Inn Suites	https://www.choicehotels.com/texas/red-oak/comfort-inn-hotels/tx950?pmf=yextandmc=llyxyxpx	LOC1794
AV1eTNWV3-Khe5l_NFXP	2017-07-20T04:41:20Z	2018-01-14T05:06:55Z	Hotels,Lodging,Motels,Hotel	Accommodation & Food Services	Americas Best Value Inn Suburban Motel	https://www.redlion.com/emmetsburg	LOC0485
AV1eToleIxWefVJwfcob	2017-07-20T04:43:11Z	2018-01-28T12:52:30Z	Hotel and motel mgmt.,Hotels and motels,Lodging,Hotels Motels,Hotels,Corporate Housing,Hotel	Accommodation & Food Services	Best Western Plus-portage Hotel & Suites	https://www.bestwestern.com/en_US/book/hotel-details.15104.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:15104	LOC0941
AV1eTRlWa4HuVbed6vvx	2017-07-20T04:41:37Z	2018-08-27T16:52:49Z	Hotels,Hotels and motels,Hotel	Accommodation & Food Services	Bricco Suites	http://www.bricco.com	LOC0797
AV1eTUww3-Khe5l_NFwQ	2017-07-20T04:41:50Z	2018-03-08T21:54:42Z	Hotels,Lodging,Corporate Housing,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Plus Vermilion River Suites Hotel	https://www.bestwestern.com/en_US/book/hotel-rooms.19114.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:19114	LOC1001
AV1eTVLfa4HuVbed6v61	2017-07-20T04:41:52Z	2018-01-18T18:43:12Z	Hotel,Hotels Motels	Accommodation & Food Services	Best Western Plus Williston Hotel & Suites	https://www.bestwestern.com/en_US/book/hotel-rooms.35038.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:35038	LOC1633
AV1eTXQF3-Khe5l_NF6Q	2017-07-20T04:42:00Z	2018-09-04T21:27:49Z	Hotels,Hotel	Accommodation & Food Services	The James New York – NoMad	https://www.jameshotels.com/new-york/nomad	LOC1416
AV1eTzDua4HuVbed6xdm	2017-07-20T04:43:54Z	2018-01-21T05:56:18Z	Hotels,Lodging,Corporate Lodging,Motels,Hotel,Hotels Motels,Budget Hotels,Business Hotels,Family-friendly Hotels	Accommodation & Food Services	Comfort Inn Corydon	https://www.choicehotels.com/indiana/corydon/comfort-inn-hotels/in155?pmf=yextandmc=llyxyxpx	LOC0302
AV1eUAKnIxWefVJwfdbu	2017-07-20T04:44:48Z	2018-01-28T08:34:40Z	Hotels,Lodging,Hotel,Hotels Motels	Accommodation & Food Services	Best Western Plus Swiss Chalet Hotel Suites	https://www.bestwestern.com/en_US/book/hotel-rooms.44640.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:44640,https://www.bestwestern.com/en_US/book/hotel-details.44640.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:446	LOC1201
AV1eUB93RxPSIh2RZ522	2017-07-20T04:44:55Z	2018-03-07T23:28:08Z	Hotels,Lodging,Motels,Hotel	Accommodation & Food Services	Comfort Suites	https://www.choicehotels.com/indiana/rensselaer/comfort-suites-hotels/in449?pmf=yextandmc=llyxyxpx	LOC0857
AV1eUgT83-Khe5l_NIvH	2017-07-20T04:46:59Z	2018-03-08T02:08:59Z	Hotels,Corporate Lodging,Lodging,Hotels and motels,Hotel and motel reservations,Travel & Transport,Hotels & Motels,Hotels Motels,Business Hotels,Family-friendly Hotels,Weekend Getaway Hotels,Hotel	Accommodation & Food Services	Wingate by Wyndham - Joliet	http://www.wingatehotels.com	LOC0610
AV1eUGWzRxPSIh2RZ6CZ	2017-07-20T04:45:13Z	2018-01-18T06:04:33Z	Hotels,Lodging,Corporate Housing,Hotels Motels,Hotel	Accommodation & Food Services	Best Western Marble Falls Inn	https://www.bestwestern.com/en_US/book/hotel-rooms.44421.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:44421	LOC1087
AV1fldKOIxWefVJwfjqX	2017-07-20T10:40:40Z	2018-01-03T09:06:57Z	Hotels,Lodging,Hotel,Hotels Motels	Accommodation & Food Services	Best Western Tolleson Hotel	https://www.bestwestern.com/en_US/book/hotel-rooms.03154.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:03154,https://www.bestwestern.com/en_US/book/hotel-rooms.03154.html?iata=00171890&ssob=BLBWI0003G&cid=BLBWI0003G:yext:website:03154	LOC1489
AV1flIFgIxWefVJwfjV0	2017-07-20T10:39:14Z	2018-03-07T19:08:01Z	Hotel,Meeting Room,Hotels Motels,Meeting Facilities	Accommodation & Food Services	Courtyard by Marriott Sioux Falls	http://www.marriott.com/hotels/travel/fsdcy-courtyard-sioux-falls/?pid=CORPYLP,http://www.marriott.com/hotels/travel/fsdcy-courtyard-sioux-falls/?pid=CORPYLP&scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe	LOC0903
AV1flj1e3-Khe5l_NQb1	2017-07-20T10:41:07Z	2018-03-08T21:17:30Z	Hotels,Lodging,Hotel and motel mgmt.,Hotels and motels,Travel & Transport,Hotels & Motels,Hotels Motels,Event Planning,Hotel	Accommodation & Food Services	Best Western Riverside Inn	https://www.bestwestern.com/en_US/book/hotel-rooms.14132.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website:14132,https://www.bestwestern.com/en_US/book/hotel-details.14132.html?iata=00171890andssob=BLBWI0003Gandcid=BLBWI0003G:yext:website	LOC0195
AV1flKIERxPSIh2RZ_qT	2017-07-20T10:39:22Z	2018-01-29T05:48:08Z	Hotels and motels,Hotel and motel reservations,Hotels,Lodging,Motels,Hotels Motels,Hotel	Accommodation & Food Services	Days Inn-ellis	http://www.daysinn.com	LOC0885
AV1fluZq3-Khe5l_NQfY	2017-07-20T10:41:51Z	2018-01-26T05:17:07Z	Hotels,Lodging,Motels,Corporate Lodging,Hotel	Accommodation & Food Services	Comfort Inn Midtown	https://www.choicehotels.com/oklahoma/tulsa/comfort-inn-hotels/ok238?pmf=yextandmc=llyxyxpx	LOC1491
AV1flwEc3-Khe5l_NQgC	2017-07-20T10:41:58Z	2018-01-28T13:06:51Z	Motels,Corporate Lodging,Lodging,Hotels,Hotel	Accommodation & Food Services	Days Inn Columbus Airport	http://www.daysinn.com	LOC0463
AV1flynma4HuVbed66sW	2017-07-20T10:42:08Z	2018-01-11T00:02:12Z	Hotels,Motels,Corporate Lodging,Hotels-Apartment,Lodging,Hotel	Accommodation & Food Services	Crossland Economy Studios Tacoma - Puyallup	http://dms.netmng.com/si/cm/tracking/DGTrackingRedirect.aspx?siclientid=2918andsiredirect=http%3a%2f%2fwww.crosslandstudios.com%2fproperty%2fCrossland-Economy-Studios-Tacoma-Puyallup-hotel.htmlandsisearchengine=326andsiproduct=Crossland+Economy+Studios+Ta	LOC0973
AV1h3NPca4HuVbed7eU8	2017-07-20T21:17:28Z	2018-05-28T10:12:49Z	Hotel,Hotels,Hotels Motels,Wedding Sites,Meeting Facilities	Accommodation & Food Services	Pier 5 Hotel Baltimore, Curio Collection by Hilton	https://ad.doubleclick.net/ddm/clk/317271033;145636969;l;u=Y_BWIPFQQ_W_D?http://www3.hilton.com/en_US/hi/doorway/index.htm?sourceCode=00081391&redirectURL=http%3A%2F%2Fwww3.hilton.com%2Fen%2Fhotels%2F0%2FBWIPFQQ%2Findex.html%3FWT.mc_id%3DzDA01MB2OLG34YX	LOC0131
AV1ha6JpIxWefVJwgDSa	2017-07-20T19:13:50Z	2018-08-27T16:55:50Z	Hotels Motels,Hotel	Accommodation & Food Services	The Westin Chicago River North	http://www.westinchicago.com	LOC0179
AV1js0xi3-Khe5l_OFPG	2017-07-21T05:51:21Z	2018-03-23T17:03:32Z	Hotels,Hotel,Lodging,Hotels Motels,Family-friendly Hotels,Tourist Hotels,Business Hotels,Budget Hotels	Accommodation & Food Services	The Brookshire Suites Inner Harbor, BW Premier Collection	https://www.bestwestern.com/en_US/book/hotel-rooms.21061.html?iata=00171890&ssob=BLBWI0003G	LOC0130
AV1tfpa83-Khe5l_Okjr	2017-07-23T03:29:58Z	2018-01-28T06:24:22Z	Hotels,Lodging,Motels,Restaurants,Restaurant,Hotel	Accommodation & Food Services	Grant House Hotel Eatery	http://www.granthousehotel.com	LOC1326
AV1tg0O0IxWefVJwg_hX	2017-07-23T03:35:05Z	2018-01-28T05:24:04Z	Motels,Lodging,Hotels,Hotels Motels,Hotel	Accommodation & Food Services	Hilltop Motel	http://hilltopmotel-us16us85.com	LOC0920
AV1tg3ASRxPSIh2Rbbgq	2017-07-23T03:35:16Z	2018-01-30T06:01:36Z	Hotels,Lodging,Corporate Lodging,Hotels and motels,Hotel	Accommodation & Food Services	Hampton Inn Suites Cincinnati/Uptown-University Area	http://hamptoninn3.hilton.com/en/hotels/ohio/hampton-inn-and-suites-cincinnati-uptown-university-area-CVGUPHX/index.html	LOC0183
AV1tg8DXIxWefVJwhAU2	2017-07-23T03:35:37Z	2018-08-27T16:50:57Z	Hotels,Hotels and motels,Motels,Hotel	Accommodation & Food Services	Pacific Inn	http://www.magnusonhotels.com/M20263	LOC0779
